code,display_en,display_fi
CAB40,Transcranial orbitotomy with excision of lesion,Vävnadsexstirpation via orbitataket
CAB50,Orbitotomy with removal of foreign body,Orbitotomi med avlägsnande av främmande kropp
CAC,Operations on orbital walls,Operationer på orbitaväggen
CAC00,Reconstruction of orbital wall,Rekonstruktion av orbitaväggen utan transplantat
CAC10,Reconstruction of orbital wall using bone graft or plate,Rekonstruktion av orbitaväggen med ben- eller hudtransplantat
CAC20,Lateral decompression of orbit,Dekompressiv lateral orbitotomi
CAC30,Decompression of orbit to sinuses,Dekompressiv orbitotomi till sinus maxillaris
CAC40,Transcranial decompression of orbital roof or optic canal,Tränskranial öppning av orbita eller optisk kanal för underlätta trycket
CAC42,Decompression of orbit by coronal approach,Coronal öppning av orbita eller optisk kanal för underlätta trycket
CAC44,Combined decompression of orbit,Öppning av orbita med diversa metoder för att underlätta trycket
CAC50,Repair of congenital malformation of orbital wall,Korrektion av medfödd missbildning av orbitaväggen
CAD,Exenteration of orbit,"Utrymning, exenteration av orbita"
CAD00,Exenteration of orbit with use of graft or flap,"Exenteration av orbita, täckning med transplantat eller lambå"
CAE,Operations for anophthalmia after enucleation or evisceration of eye,Operationer efter enukleation eller evisceration av ögat
CAE00,Removal of implant from orbit,Avlägsnande av implantat ur orbita
CAE10,Revision and secondary implant in orbit,Revision och sekundärt inläggande av implantat i orbita
CAE20,Revision of conjunctival sac with graft,Revision av konjunktivalsäcken med transplantat
CAW,Other operations on orbit,Andra operationer på orbita
CAW99,Other operation on orbit,Annan operation på orbita
CA1AA,Orbita and canalis opticus X-ray examination,"Orbita och optikuskanal, röntgen"
CA1AD,Orbita CT,"Orbita, DT"
CA1AE,Eye and orbita ultrasound examination,"Orbita, UL"
CA1BD,Extensive orbita CT,"Orbita, omfattande DT"
CA1BF,Eye and orbita MRI examination with median intensity magnet,"Ögonen och orbita, MR (under 1,5T)"
CA1BG,Eye and orbita MRI examination with high intensity magnet,"Ögonen och orbita, MR"
CA1BM,Eye and orbita MRI examination with 3 Tesla magnet,"Ögonen och orbita, MR (över 1,5T)"
CA1CD,Very extensive orbita CT,"Orbita, mycket omfattande DT"
CA1CF,Eye and orbita extensive MRI examination with median intensity magnet,"Ögonen och orbita, omfattande MR (under 1,5T)"
CA1CG,Eye and orbita extensive MRI examination with high intensity magnet,"Ögonen och orbita, omfattande MR"
CA1CM,Eye and orbita extensive MRI examination with 3 Tesla magnet,"Ögonen och orbita, omfattande MR (över 1,5T)"
CA1DF,Eye and orbita very extensive MRI examination with median intensity magnet,"Ögonen och orbita, mycket omfattande MR (under 1,5T)"
CA1DG,Eye and orbita very extensive MRI examination with high intensity magnet,"Ögonen och orbita, mycket omfattande MR"
CA1DM,Eye and orbita very extensive MRI examination with 3 Tesla magnet,"Ögonen och orbita, mycket omfattande MR (över 1,5T)"
CA1EA,Localisation of intraocular foreign body with X-ray,"Lokalisation av främmande kropp i orbita, röntgen"
CA1LT,,"Orbital värmekoagulation, radiologiskt styrt"
CA1ME,Ultrasound oculometry,"Ögon, UL (okulometri)"
CA1TM,,Fastställande av styrkan på konstgjord lins i ögat
CA1XD,Other special CT of orbita,DT av orbita (övrig)
CA_2,Other procedures on orbit,Andra åtgärder på orbita
CA2S4,,Fotografering av ögonhålan
CB,Eylid and eybrow,Ögonlocken och ögonbryn
CB_,Other procedures on eyelid,Andra åtgärder på ögonlocken
CBA,Incision and biopsy of eyelid,Incision och biopsi av ögonlock
CBA00,Incision of eyelid,Incision av ögonlock
CBA10,Biopsy of eyelid,Biopsi av ögonlock
CBB,Excision or destruction of lesion of eyelid,Excision eller destruktion av lokal förändring i ögonlock
CBB00,Excision of chalazion,Excision eller exkokleation av chalazion
CBB10,Excision of redundant skin of eyelid,"Excision av ögonlockshud, operation för dermatochalasis"
CBB11,,Avlägsnande av slapp hud på övre ögonlocket
CBB12,,Avlägsnande av slapp hud på nedre ögonlocket
CBB15,Resection of herniated fat from eyelid,Resektion av fettprolaps i ögonlock
CBB16,,Avlägsnande av fettbråck på övre ögonlocket
CBB17,,Avlägsnande av fettbråck på nedre ögonlocket genom bindhinnan
CBB20,Correction of lax skin of eyelid and resection of herniated fat,Resektion av hud och fettprolaps
CBB21,,Avläsgnande av slapp hud och fettbråck på övre ögonlocket
CBB22,,Avlägsnande av slapp hud och fettbråck på nedre ögonlocket genom bindhinnan
CBB23,,Avlägsnande av slapp hud och fettbråck på nedre ögonlocket genom öppen kirurgi
CBB30,Excision of lesion of eyelid,Exstirpation av tumör eller lokal förändring i ögonlock
CBB35,Cryotherapy of lesion of eyelid,Kryoterapi av tumör eller lokal förändring i ögonlock
CBB40,Electrocoagulation of lesion of eyelid,Elektrokoagulation av tumör eller lokal förändring i ögonlock
CBB50,Excision of lesion of eyelid and reconstruction using graft or flap,Exstirpation av tumör eller hokal förändring i ögonlock: rekonstruktion med transplantat eller lambå
CBB99,Other excision or destruction of lesion of eyelid,Annat avlägsnande av tumör eller lokal förändring i ögonlock
CBC,Operations on eyelid for injury,Operationer vid skador på ögonlock
CBC00,Suturation or/and revision of eyelid,Suturation och/eller revision av ögonlock
CBC10,Removal of foreign body from eyelid,Avlägsnande av främmande kropp i ögonlock
CBC99,Other operation on eyelid for injury,Annan operation vid skador på ögonlock
CBD,Plastic reconstruction of eyelid,Rekonstruktion av ögonlock
CBD00,Plastic reconstruction of eyelid using suture,Korrektion av ögonlock med primärsutur
CBD10,Plastic reconstruction of eyelid using graft or flap,Rekonstruktion av ögonlock med transplantat eller lambå
CBD11,Opening of eylid graft or flap,Öppning transplantat eller lambå på ögonlock
CBD99,Other plastic reconstruction of eyelid,Annan rekonstruktion av ögonlock
CBE,Operations for entropion,Operationer för entropium
CBE00,Suture of eyelid for entropion,Sutur för entropium
CBE10,Orbicularis muscle operation for entropion,Operation av m. orbicularis för att korrigera entropium
CBE20,Shortening of eyelid retractors for entropion,Sträckning av ögonlocksretraktorer för entropium
CBE30,Horizontal shortening for entropion,Horisontell sträckning för entropium
CBE40,Combined correction of entropion,Kombinerad korrektion av entropium
CBE50,Cicactricial entropion correction with plastic reconstuction of eyelid,Ärrentropium plastisk korrektion
CBE99,Other operation for entropion,Annan operation för entropium
CBF,Operations for ectropion,Operationer för ektropium
CBF00,Electrocauterisation of eyelid for ectropion,Elektrokoagulation för ektropium
CBF10,Shortening of canthal ligaments and tarsal plate for ectropion,Förkortning av kantusligament och tarsus för ektropium
CBF11,Horizontal shortening of tarsal plate for ectropion,Horisontell uppstraming av tastsus för ektropium
CBF20,Resection of part of tarsus for ectropion,Delresektion av tarsus för ektropium
CBF30,Excision of tarsus and skin for ectropion,Excision av tarsus och hud för ektropium
CBF40,Plastic repair of eyelid for cicatricial ectropion,Rekonstruktion för ärrektropium
CBF99,Other operation for ectropion,Annan operation för ektropium
CBG,Operations for trichiasis,Operationer för trikiasis och distikiasis
CBG00,Epilation of cilia by electrolysis,Elektroepilation av cilier
CBG10,Cryotherapy for trichiasis,Kryobehandling för trikiasis
CBG20,Plastic repair of margin of eyelid for trichiasis,Rekonstruktion av ögonlockskanten vid trikiasis
CBG99,Other operation for trichiasis,Annan operation för trikiasis
CBH,Operations on canthus,Operationer på kantus och ögonlockskanten
CBH00,Canthotomy,Kantotomi
CBH05,Canthopexy,Kantopexi
CBH10,Plactic repair of canthus,Rekonstruktion av kantus
CBH20,Central tarsorrhaphy,Central tarsorafi
CBH25,Tarsorrhaphy,Tarsorafi
CBH30,Tarsorraphy,Tarsorafi
CBH40,Division of tarsorrhaphy,Uppklippning av tarsorafi
CBH50,Reconstructive operation for epicanthus,Rekonstruktiv operation för epikantus
CBH99,Other operation on canthus,Annan operation på kantus och ögonlockskanten
CBJ,Operations for ptosis of eyelid and eyebrow,Operationer för ptos
CBJ00,Suture of eyelid for ptosis,Lyftning av ögonlock med suturslinga
CBJ10,Fascia plate sling or synthetic material for ptosis correction,Lyftning av ögonlock med naturlig eller syntetisk material
CBJ20,Tarsomyectomy for ptosis,Tarsomyektomi på ögonlock
CBJ30,Plastic repair of levator aponeurosis of eyelid,Rekonstruktion av levatormuskelns aponeuros
CBJ40,Resection of levator muscle of eyelid,Resektion av levatormuskeln
CBJ41,Shortening of superior tarsal muscle (Müller's muscle),Förkortning av Müllers muskel
CBJ45,Shortening of superior tarsal muscle,Förkortning av Müllers muskel
CBJ50,Operation for ptosis of eyebrow,Lyftning av ögonbryn
CBJ90,Adjustment of ptosis of suture,Justering av ptossuturer
CBJ99,Other operation for ptosis,Annan operation för ptos
CBK,Operations for lagophthalmus and retraction of eyelid,Operationer för lagoftalmi och ögonlocksretraktion
CBK00,Myotomy or resection of tarsal muscle or levator muscle of eyelid for correction of retraction,Myotomi eller resektion av tarsalmuskel eller levatormuskel vid ögonlocksretraktion
CBK10,Operation for lagophtalmus,Korrigeringsoperation av lagoftalmi
CBK11,Operation for lagophtalmus with implant,Korrigering av lagoftalmi
CBK99,Other operation for retraction of eyelid,Annan operation för lagoftalmi och ögonlocksretraktion
CBL,Operations for blepharospasm,Operationer vid blefarospasm
CBL00,Myectomy or neurotomy for blepharospasm,Myotomi eller neurotomi vid blefarospasm
CBL99,Other operation for blepharospasm,Annan operation vid blefarospasm
CBN,Operations for entropion and ectropion,Operationer för ektropion och entropion
CBN00,Eversion suture of eyelid,Sutur för omvändning av ögonlock
CBN10,Transposition and shortening of orbicularis muscle,Förkortning av obikularis oculis -muskel
CBN20,Shortening of eyelid retractors,Stramning av ögonlocksretraktorer
CBN30,Shortening of canthal ligament,Stramning av canthalligament
CBN40,Excision of tarsus,Excision av tarsus
CBN50,Excision of tarsus and skin,Excision av tarsus och hud
CBN60,Excision of scar of eyelid and plastic reconstruction,Excision av ögonlocksärr och plastikrekonstruktion
CBN99,Other operation on eyelid for malposition,Operation för att korrigera syklodeviation (Harada-Ito)
CBW,Other operations on eyelid,Andra operationer på ögonlocken
CBW99,Other operation on eyelid,Annan operation på ögonlocken
CB2M4,,Mätning av ögonlocken
CB2V4,,Videoavbildning av ögonlocken
CB9S4,,Fotografering av ögonlock och ögonbryn
CC,Lacrimal apparatus,Tårkörtlar och tårkanaler
CC_,Other diagnostic procedures of lacrimal apparatus,Diagnostiska åtgärder på tårkanaler
CCA,Incision and biopsy of lacrimal gland and passages,Incision och biopsi av tårkörtel och tårkanal
CCA00,Incision of lacrimal gland,Incision av tårkörtel
CCA10,Biopsy of lacrimal gland,Biopsi av tårkörtel
CCA20,Incision of lacrimal punctum or canaliculus,"Klyvning av tårpunkt eller -kanal, dakryotomi"
CCA30,Incision of lacrimal sac,"Öpnande av tårsäck, dakryocystotomi"
CCA40,Biopsy of lacrimal passages,Biopsi av tårkanal
CCB,Other operations on lacrimal gland,Andra operationer på tårkörtel
CCB00,Partial dacryoadenectomy,Resektion av tårkörtel
CCB10,Total dacryoadenectomy,Total exstirpation av tårkörtel
CCB99,Other operation on lacrimal gland,Annan operation på tårkörtel
CCC,Other operations on lacrimal passages,Andra operationer på tårkanalerna
CCC00,Occlusion of lacrimal punctum or canaliculus,Tillslutning av tårkanal
CCC50,Dacryocystectomy,Exstirpation av tårsäck
CCC99,Other operation on lacrimal passages,Annan operation på tårkanalerna
CCD,Reconstructive operations on lacrimal apparatus,Rekonstruktiva ingrepp på tårkörtlar/tårkanaler
CCD00,Occlusion of lacrimal fistula,Exstirpation/tillslutning av tårfistel
CCD10,Suture of lacrimal canaliculus,Sutur av tårkanal
CCD20,Suture of lacrimal canaliculus with insertion of tube,Sutur av tårkanal med intubation
CCD30,Reconstruction of lacrimal canaliculus,Rekonstruktion av tårkanal
CCD40,Percutaneous dacryocystorhinostomy,Perkutan dakryocystorinostomi
CCD50,Dacryocystorhinostomy with insertion of tube,Dakryocystorinostomi med intubation
CCD60,Transnasal dacryocystorhinostomy,Transnasal dakryocystorinostomi
CCD70,Conjunctivocystorhinostomy with insertion of tube,Konjunktivocystorinostomi med inläggande av Jones' rör
CCD99,Other reconstructive operation on lacrimal apparatus,Annan rekonstruktiv operation på tårkanalerna
CCW,Other operations on lacrimal apparatus,Andra operationer på tårkörtlar/tårkanaler
CCW99,Other operation on lacrimal apparatus,Annan operation på tårkörtlar och tårkanaler
CC1AE,Tear channel ultrasound examination,"Tårkanal, UL"
CC1AN,Lacrimal system isotope imaging,"Tårvägar, isotopundersökning"
CC1CB,Dacryocystography,Dakryocystografi (kontrastundersökning av tårkanalen)
CC_2,Other procedures on lacrimal apparatus,Andra åtgärder på tårkörtlar/tårkanaler
CC3S4,,Avbildning av tårpunkt
CD,Eyeball,Ögongloben
CD_,Diagnostic procedures of eyeball,Diagnostiska åtgärder i ögongloben
CDB,Removal of intraocular foreign body,Avlägsnande av intrabulbär främmande kropp
CDB00,Removal of intraocular foreign body,Avlägsnande av intrabulbär främmande kropp utan magnet
CDB10,Removal of intraocular foreign body using magnet,Avlägsnande av intrabulbär främmande kropp med magnet
CDB99,Other operation for intraocular foreign body,Annan operation vid intrabulbär främmande kropp
CDC,Enucleation and evisceration of eye,Enukleation och evisceration av ögat
CDC00,Enucleation of eye,Enukleation av ögat
CDC10,Enucleation of eye with insertion of prosthesis,Enukleation av ögat med implantation av protes i Tenon¿s kapsel
CDC20,Enucleation of eye with use of graft,Enukleation av ögat med vävnadsimplantat i Tenon¿s kapsel
CDC30,Evisceration of eye,Evisceration av ögat
CDC40,Evisceration of eye with insertion of prosthesis,Evisceration av ögat med implantation av protes
CDC50,Evisceration of eye with use of graft,Evisceration av ögat med vävnadsimplantat
CDK97,,
CDW,Other operations on eyeball,Övriga operationer på ögongloben
CDW99,Other operation on eyeball,Annan operation på bulben som helhet
CD1AE,Other special ultrasound examination of the eye,Annan UL av ögonen
CD2J4,,Termografi av ögonen
CD2S4,,Fotografering av ögat
CD2V4,,Videoavbildning av ögat
CD994,,Annan avbildning eller undersökning av ögonen
CE,Extraocular muscles,Ögonmuskler
CE_,Other procedures on extraocular muscle,Andra åtgärder på ögonmusklerna
CEA,Biopsy of extraocular muscle,Biopsi av ögonmuskel
CEA00,Biopsy of extraocular muscle,Biopsi av ögonmuskel
CEB,"Myectomy, myotomy, tenotomy of extraocular muscle","Myektomi, myotomi, tenotomi av ögonmuskel"
CEB00,Myectomy of extraocular muscle,Myektomi av ögonmuskel
CEB10,Partial myotomy of extraocular muscle,Partiell myotomi av ögonmuskel
CEB20,Total myotomy of extraocular muscle,Total myotomi av ögonmuskel
CEB30,Tenotomy of extraocular muscle,Tenotomi av ögonmuskel
CEC,Transposition of extraocular muscle,Transposition av ögonmuskel
CEC00,Recession of extraocular muscle,Retroposition av ögonmuskel
CEC10,Recession and resection of extraocular muscle,Retroposition och resektion av ögonmuskel
CEC20,Recession and advancement of extraocular muscle,Retroposition och anteposition av ögonmuskel/-muskler
CEC25,,
CEC30,Resection of extraocular muscle,Resektion av ögonmuskel
CEC40,Resection and advancement of extraocular muscle,Resektion och anteposition av ögonmuskel/-muskler
CEC50,Advancement of extraocular muscle,Anteposition av ögonmuskel/-muskler
CEC60,Transposition of extraocular muscle with adjustable suture,Transposition av ögonmuskel med justerbar sutur
CEC70,Transposition of extraocular muscle for nystagmus,Transposition av ögonmuskel/-muskler p.g.a. nystagmus
CEC80,Partial transposition of extraocular muscle,Partiell flyttning av ögonmuskel
CEC85,Combined correction of cyclodeviation,Reseksjon av konjunktiva
CEC86,,
CEC90,Total transposition of extraocular muscle or muscles,Total transposition av ögonmuskel/muskler
CED,Plication of extraocular muscle,"Veckning av ögonmuskel, plikation"
CED00,Plication of extraocular muscle,Veckning av ögonmuskel/-muskler
CEE,Fixation of extraocular muscle,Fixering av ögonmuskel
CEE00,Posterior fixation suture of extraocular muscle,"Posterior fixationssutur, dvs Faden"
CEE10,Fixation of extraocular muscle with anchoring suture,Fixering av ögonmuskel med ankarsutur
CEE40,,
CEF,Operation on extraocular muscle for injury or after previous operation,Operation på ögonmuskel vid skada eller efter tidigare operation
CEF00,Freeing of adhesions of extraocular muscle,Lösning av fastlödd ögonmuskel
CEF10,Suture of traumatic lesion of extraocular muscle or Tenon's capsule,Sutur av skadad ögonmuskel eller Tenons kapsel
CEW,Other operations on extraocular muscle,Andra operationer på ögonmusklerna
CEW10,,
CEW30,,
CEW50,,
CEW99,Other operation on extraocular muscle,Annan operation på ögonmusklerna
CE2V4,,Videoavbildning av ögonrörelser
CE2W4,,Ögonrörelsemätning
CF,Conjunctiva,Bindehinnan
CF_,Other procedures on conjunctiva,Andra åtgärder på bindehinnan
CFA,Incision and biopsy of conjunctiva,Incision och biopsi av bindehinnan
CFA00,Incision of conjunctiva,Incision av bindehinnan
CFA10,Peritomy of conjunctiva,Peritomi av bindehinnan
CFA12,,Resektion av konjunktiva
CFA20,Biopsy of conjunctiva,Biopsi eller annan incision av bindehinnan
CFB,Suture and removal of foreign body of conjunctiva,Sutur och avlägsnande av främmande kropp i bindehinnan
CFB00,Suture of conjunctiva,Sutur av sår i bindehinnan
CFB10,Removal of foreign body from conjunctiva,Avlägsnande av främmande kropp i bindehinnan
CFC,Removal of lesion of conjunctiva,Avlägsnande av tumör eller lokal förändring
CFC00,Excision of lesion of conjunctiva,Exstirpation av tumör i bindehinnan
CFC10,Laser therapy of lesion of conjunctiva,Laserterapi av förändring i bindehinnan
CFC15,Destruction of lesion of conjunctiva,Elektrokoagulation av hornhinnan för att korrigera refraktionsfel (=CK)
CFC20,Cryotherapy of lesion of conjunctiva,Kryoterapi av förändringar i bindehinnan
CFC30,Excision of trachoma follicles,Exstirpation av trakomkorn/folliklar
CFD,Repair of conjunctiva,Rekonstruktiva ingrepp på bindehinnan
CFD00,Repair of conjunctiva without graft,Rekonstruktion av bindehinnan utan transplantat
CFD10,Repair of conjunctiva,Rekonstruktion av bindehinnan
CFD40,,
CFD45,,
CFW,Other operations on conjunctiva,Andra operationer på bindehinnan
CFW10,,
CFW11,,
CFW30,,
CFW50,,
CFW99,Other operation on conjunctiva,Annan operation på bindehinnan
CF1A3,,Cytologisk undersökning av bindhinna
CF2S4,,Fotografering av bindhinnan
CG,Cornea and sclera,Hornhinna och sklera
CG_,Other procedures on cornea and sclera,Andra åtgärder på hornhinna eller sklera
CGA,Biopsy of cornea or sclera,Biopsi av hornhinna eller sklera
CGA00,Biopsy of cornea,Biopsi av hornhinna
CGA10,Biopsy of sclera,Biopsi av sklera
CGB,Incision of cornea or sclera,Incision i hornhinna eller sklera
CGB00,Keratotomy,Keratotomi
CGB10,Sclerotomy,Anterior sklerotomi
CGC,Removal of foreign body from cornea or sclera,Avlägsnande av främmande kropp i hornhinna eller sklera
CGC10,Removal of foreign body from cornea,Avlägsnande av främmande kropp i hornhinna
CGC20,Removal of foreign body from cornea using magnet,Avlägsnande av främmande kropp i hornhinna med magnet
CGC30,Removal of foreign body from sclera,Avlägsnande av främmande kropp i sklera
CGC40,Removal of foreign body from sclera using magnet,Avlägsnande av främmande kropp i sklera med magnet
CGD,Operations for errors of refraction,Operationer för refraktionsanomali
CGD00,Keratotomy for error of refraction,Keratotomi för refraktionsanomali
CGD01,,
CGD05,EPILASIK-laseroperation to correct refraction,EPILASIK laserbehandling för att korrigera refraktionsfel
CGD10,Laser keratoplasty for error of refraction,Laserbehandling för refraktionsanomali
CGD11,Photo refractive keratectomy,PRK laserbehandling för att korrigera refraktionsfel
CGD12,,
CGD15,Thermokeratoplasty,Elektrokoagulation av hornhinnan för att korrigera refraktionsfel (CK)
CGD20,Laser-assisted in situ keratomileusis,LASIK laserbehandling för att korrigera refraktionsfel
CGD22,,
CGD30,,
CGD40,Implantation of intracorneal ring segments,Implantation av intrakornealt inlägg
CGD41,,
CGD98,,
CGD99,Other operation for error of refraction,Annan operation för refraktionsanomali
CGE,Operations for lesion of cornea and sclera,Behandling av vävnadsförändringar i hornhinna eller sklera
CGE10,Keratectomy,Keratektomi
CGE15,Laser therapy of cornea,Laserbehandling av hornhinna
CGE16,Destruction of lesion of cornea,Behandling av lesion i hornhinnan
CGE20,Thermocauterisation of cornea,Elektrokoagulation av hornhinna
CGE25,Cryotherapy of cornea,Kryoterapi av hornhinna
CGE30,Sclerectomy,Sklerektomi
CGE35,,Laserbehandling av sklera
CGE36,Destruction of lesion of sclera,Behandling av lesion i sklera
CGE40,Laser therapy of sclera,Elektrokoagulation av sklera
CGE45,Repair of cornea using limbal stem cell graft,Reparation av hornhinnan med stamcellstransplantat
CGE50,Excision of pterygium,Excision av pterygium
CGE55,Excision of pterygium with transplanation of conjunctiva,Excision av pterygium med transplantatrekonstruktion av konjunktiva
CGE60,"Limbal stem cell transplantation, allotransplantation","Limbal stamcellstransplantation, allotransplantation"
CGE65,"Limbal stem cell transplantation, autotransplantation","Limbal stamcellstransplantation, autotransplantation"
CGE70,"Limbal stem cell transplantation, cultivated cells","Limbal stamcellstransplantation, odlad vävnad"
CGE99,Other operation for lesion of cornea or sclera,Annan operation för vävnadsförändringar i hornhinna eller sklera
CGF,Operations on cornea and sclera for perforating injury,Behandling av perforerande sår i hornhinna eller sklera
CGF00,Closure of laceration of cornea using tissue glue,Limning av sår i hornhinna
CGF10,Suture of laceration of cornea,Sutur av sår i hornhinna
CGF20,Suture of laceration of cornea with plastic repair of conjunctiva,Sutur av sår i hornhinna med reparation av bindehinna
CGF25,Suture of laceration of cornea with resection of protruding uvea,Sutur av sår i hornhinna med avlägsnande av prolaberad uveavävnad
CGF30,Repair of cornea using graft of conjunctiva,Täckning av hornhinna med konjunktiva
CGF31,,
CGF35,Repair of cornea using graft,Reparation av hornhinnan med transplantat
CGF40,Closure of laceration of sclera using tissue glue,Limning av sår i sklera
CGF45,Suture of laceration of sclera,Sutur av sår i sklera
CGF50,Suture of laceration of sclera with plastic repair of conjunctiva,Sutur av sår i sklera med rekonstruktion av bindehinna
CGF55,Suture of laceration of sclera with resection of protruding uvea,Sutur av sår i sklera med avlägsnande av prolaberad uveavävnad
CGF99,Other operation on cornea and sclera for perforating injury,Annan operation vid perforerande sår i hornhinna eller sklera
CGG,Reconstructive operations on cornea and sclera,Rekonstruktiva ingrepp på hornhinna och sklera
CGG00,Tattooing of cornea,Tatuering av hornhinna
CGG10,Correction of keratoconus using thermocautery,Termokauterisering av keratoconus i hornhinna
CGG11,Corneal cross-linking,Förstärkning av hornhinnan med UVA-ljus (cross-linking)
CGG12,,
CGG20,Epikeratofakia or keratofakia,"Epikeratofaki, keratofaki"
CGG30,Anterior lamellar transplantation of cornea,Anteriör lamellar horninnetransplantation
CGG31,Posterior corneal lamellar transplantation,Posterior lamellär hornhinnetransplantation
CGG35,Transplantation of endothelium of cornea,Transplantat med endotel av hornhinne
CGG40,Full thickness transplantation of cornea using autograft,Hornhinnetransplantation med autograft
CGG45,Full thickness transplantation of cornea using homograft,Hornhinnetransplantation med homograft
CGG50,Implantation of keratoprosthesis,Implantation av keratoprotes
CGG60,Reinforcement of sclera using graft,Förstärkning av sklera med transplantat
CGG99,Other reconstructive operations on cornea and sclera,Annat rekonstruktivt ingrepp på hornhinna eller sklera
CGW,Other operations on cornea and sclera,Andra operationer på hornhinna eller sklera
CGW99,Other operation on cornea or sclera,Annan operation på hornhinna eller sklera
CG2S4,,Fotografering av hornhinnan
CG2T4,,Hornhinnans topografi
CG2X4,,Optisk koherenstomografi (OCT) av hornhinnan
CG2Y4,,OCT-videoavbildning av hornhinnan
CG2Z4,,Speciell typavbildning av hornhinnan
CG3S4,,Fotografering av senhinnan
CG3X4,,Optisk koherenstomografi (OCT) av senhinnan
CH,"Anterior chamber, anterior chamber angle, iris and ciliary body","Främre kammare, kammarvinkel, iris och ciliarkropp"
CH_,"Other operations on anterior chamber, anterior chamber angle, iris and ciliary body","Andra åtgärder i främre kammaren, kammarvinkeln, på iris och ciliarkroppen"
CHA,"Biopsy of anterior chamber, anterior chamber angle, iris and ciliary body","Biopsi av främre kammaren, kammarvinkeln, iris och ciliarkroppen"
CHA10,Biopsy of iris,Biopsi av iris
CHA20,Biopsy of ciliary body,Biopsi av ciliarkroppen
CHB,Operations on anterior chamber and anterior chamber angle,Ingrepp i främre kammaren och kammarvinkeln
CHB00,Laser synechiolysis,Delning av främre synekier med laser
CHB05,Puncture of anterior chamber of eye to lower intraocular pressure,Terapeutisk punktion av främre kammaren
CHB10,Puncture of anterior chamber of eye with irrigation,Kammarpunktion med sköljning
CHB15,Puncture of anterior chamber of eye with replacement of aqueous,Kammarpunktion med insprutning gas
CHB20,Goniopuncture,Goniopunktion
CHB30,Goniotomy,Goniotomi
CHB35,,
CHB40,Goniosynechiolysis,Lösning av goniosynekier
CHB50,Trabeculotomy,Trabekulotomi
CHB55,,
CHB56,,
CHB57,,
CHB60,Anterior synechiolysis,Lösning av främre synekier
CHB61,,
CHB65,Posterior synechiolysis,Lösning av bakre synekier
CHB99,Other operation on anterior chamber and anterior chamber angle,Annan operation i främre kammaren och kammarvinkeln
CHC,Iridotomy and iridectomy,Iridotomi och iridektomi
CHC00,Iridotomy,Iridotomi
CHC03,Laser iridoplasty,Laser iridoplasti
CHC04,,
CHC05,Iridotomy,Iridotomi
CHC10,Peripheral iridectomy,Perifer iridektomi
CHC20,Sector iridectomy,Sektoriridektomi
CHC30,Central iridectomy,"Central iridektomi, sfinkterotomi"
CHD,Filtering operations,Operationer för att reglera utflödet av kammarvätska
CHD00,Laser trabeculoplasty,Lasertrabekuloplastik
CHD05,Selective lasertrabeculoplasty,Selektiv lasertrabekuloplastik (SLT)
CHD10,Trabeculectomy,Trabekulektomi
CHD15,Trabeculectomy and iridectomy,Trabekulektomi med iridektomi
CHD16,,
CHD20,Posterior sclerotomy,Posterior sklerotomi
CHD25,Trephine of sclera and iridectomy,Trepanation av sklera med iridektomi
CHD28,Posterior sclerotomy,Suturation av iris
CHD30,Laser trabeculectomy,Lasertrabekulektomi
CHD35,Laser goniopuncture,Lasergoniopunktion
CHD40,Iridencleisis,Iridenkleisis
CHD50,Shunt operation on anterior chamber,Implantation av kateter till främre kammaren
CHD51,,
CHD52,,
CHD60,Deep sclerectomy without implant,Djup sklerektomi utan implantat
CHD65,Nonpenetrating glaucoma surgery,Nonpenetrerande glaukomoperation
CHD70,,
CHD99,Other filtering operation,Annat ingrepp för att reglera utflödet av kammarvätska
CHE,Operations for lesion of iris,Operationer för förändringar i iris
CHE00,Pupillotomy,Öppning av pupil
CHE05,Laser pupillotomy,Öppning av pupill med laser
CHE10,Excision of lesion of iris,Delresektion av iris för tumör
CHE20,Laser therapy of lesion of iris,Laserbehandling av tumör i iris
CHE30,Suture of iris,Ersättande av irisdefekt med implantat
CHE35,Repair of defect of iris using prosthetic implant,Laserbehandling av krympt kapselpåse
CHE99,Other operation for lesion of iris,Annan operation för tumör eller lokal förändring i iris
CHF,Operations on ciliary body,Operationer på ciliarkroppen
CHF00,Excision of lesion of ciliary body,Exstirpation av tumör i ciliarkroppen
CHF05,Transscleral laser coagulation of ciliary body,Transskleral laser/fotokoagulation av ciliarkroppen
CHF10,Transpupillary laser coagulation of ciliary body,Transpupillär laser/fotokoagulation av ciliarkroppen
CHF12,Endoscopic laser coagulation of ciliary body,Endoskopisk laser/fotokoagulation av ciliarkroppen
CHF15,Cryotherapy of ciliary body,Kryoterapi av ciliarkroppen
CHF20,Electrocoagulation of ciliary body,Elektrokoagulation av ciliarkroppen
CHF30,Cyclodialysis,Cyklodialys
CHF99,Other operation on ciliary body,Annan operation på ciliarkroppen
CHW,"Other operations on anterior chamber, anterior chamber angle, iris and ciliary body","Andra operationer i främre kammaren, kammarvinkeln, på iris och ciliarkroppen"
CHW99,"Other operation on anterior chamber, anterior chamber angle, iris or ciliary body","Annan operation i främre kammaren, kammarvinkeln, på iris och ciliarkroppen"
CH2F4,,Fluoresceinangiografi (FAG) av regnbågshinnan
CH2G4,,Indocyaningrönt angiografi (ICGA) av regnbågshinnan
CH2M4,,Pupillometri
